[ 2012-09-01T00:03:30+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ view_end ] --END-- [ RunTime:0.000570s ]
[ 2012-09-01T00:05:17+08:00 ] /xxx2/ | INFO: Tag[ app_begin ] --START--
[ 2012-09-01T00:05:17+08:00 ] /xxx2/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000962s ]
[ 2012-09-01T00:05:17+08:00 ] /xxx2/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001067s ]
[ 2012-09-01T00:05:17+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_catalog` [ RunTime:0.002411s ]
[ 2012-09-01T00:05:17+08:00 ] /xxx2/ | SQL: SELECT `id`,`f_cata` FROM `think_catalog` WHERE f_id=0  [ RunTime:0.001233s ]
[ 2012-09-01T00:05:17+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_link` [ RunTime:0.001918s ]
[ 2012-09-01T00:05:17+08:00 ] /xxx2/ | SQL: SELECT `id`,`addr`,`info` FROM `think_link`  [ RunTime:0.000589s ]
[ 2012-09-01T00:05:17+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_tongzhi` [ RunTime:0.001884s ]
[ 2012-09-01T00:05:17+08:00 ] /xxx2/ | SQL: SELECT `id`,`title`,`content`,`name`,`dt` FROM `think_tongzhi`  [ RunTime:0.000756s ]
[ 2012-09-01T00:05:17+08:00 ] /xxx2/ | INFO: Tag[ view_template ] --START--
[ 2012-09-01T00:05:17+08:00 ] /xxx2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000673s ]
[ 2012-09-01T00:05:17+08:00 ] /xxx2/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000741s ]
[ 2012-09-01T00:05:17+08:00 ] /xxx2/ | INFO: Tag[ view_parse ] --START--
[ 2012-09-01T00:05:17+08:00 ] /xxx2/ | INFO: Run ParseTemplate Behavior [ RunTime:0.013807s ]
[ 2012-09-01T00:05:17+08:00 ] /xxx2/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013919s ]
[ 2012-09-01T00:05:17+08:00 ] /xxx2/ | INFO: Tag[ view_filter ] --START--
[ 2012-09-01T00:05:17+08:00 ] /xxx2/ | INFO: Run ContentReplace Behavior [ RunTime:0.000604s ]
[ 2012-09-01T00:05:17+08:00 ] /xxx2/ | INFO: Run TokenBuild Behavior [ RunTime:0.000677s ]
[ 2012-09-01T00:05:17+08:00 ] /xxx2/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000569s ]
[ 2012-09-01T00:05:17+08:00 ] /xxx2/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000660s ]
