[ 2013-01-03T10:31:47+08:00 ] /xxx2/admin_e.php/Film/film_mag | INFO: Run ShowRuntime Behavior [ RunTime:0.000683s ]
[ 2013-01-03T10:31:47+08:00 ] /xxx2/admin_e.php/Film/film_mag | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002859s ]
[ 2013-01-03T10:31:47+08:00 ] /xxx2/admin_e.php/Film/film_mag | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin_e\Lib\Action\FilmAction.class.php:1) View.class.php 第 120 行.
[ 2013-01-03T10:31:47+08:00 ] /xxx2/admin_e.php/Film/film_mag | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin_e\Lib\Action\FilmAction.class.php:1) View.class.php 第 121 行.
[ 2013-01-03T10:31:47+08:00 ] /xxx2/admin_e.php/Film/film_mag | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin_e\Lib\Action\FilmAction.class.php:1) View.class.php 第 122 行.
[ 2013-01-03T10:31:47+08:00 ] /xxx2/admin_e.php/Film/film_mag | INFO: Tag[ view_end ] --START--
[ 2013-01-03T10:31:47+08:00 ] /xxx2/admin_e.php/Film/film_mag | INFO: Run ShowPageTrace Behavior [ RunTime:0.000755s ]
[ 2013-01-03T10:31:47+08:00 ] /xxx2/admin_e.php/Film/film_mag | INFO: Tag[ view_end ] --END-- [ RunTime:0.000841s ]
[ 2013-01-03T10:31:47+08:00 ] /xxx2/admin_e.php/Film/select?name=null | INFO: Tag[ route_check ] --START--
[ 2013-01-03T10:31:47+08:00 ] /xxx2/admin_e.php/Film/select?name=null | INFO: Run CheckRoute Behavior [ RunTime:0.001113s ]
[ 2013-01-03T10:31:47+08:00 ] /xxx2/admin_e.php/Film/select?name=null | INFO: Tag[ route_check ] --END-- [ RunTime:0.001246s ]
[ 2013-01-03T10:31:47+08:00 ] /xxx2/admin_e.php/Film/select?name=null | INFO: Tag[ app_begin ] --START--
[ 2013-01-03T10:31:47+08:00 ] /xxx2/admin_e.php/Film/select?name=null | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000912s ]
[ 2013-01-03T10:31:47+08:00 ] /xxx2/admin_e.php/Film/select?name=null | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001005s ]
[ 2013-01-03T10:31:47+08:00 ] /xxx2/admin_e.php/Film/select?name=null | SQL: SHOW COLUMNS FROM `think_catalog` [ RunTime:0.000187s ]
[ 2013-01-03T10:31:47+08:00 ] /xxx2/admin_e.php/Film/select?name=null | SQL: SELECT * FROM `think_catalog` WHERE f_cata='null' LIMIT 1   [ RunTime:0.000423s ]
[ 2013-01-03T10:31:48+08:00 ] /xxx2/admin_e.php/Film/film_add | INFO: Tag[ route_check ] --START--
[ 2013-01-03T10:31:48+08:00 ] /xxx2/admin_e.php/Film/film_add | INFO: Run CheckRoute Behavior [ RunTime:0.001146s ]
[ 2013-01-03T10:31:48+08:00 ] /xxx2/admin_e.php/Film/film_add | INFO: Tag[ route_check ] --END-- [ RunTime:0.001290s ]
[ 2013-01-03T10:31:48+08:00 ] /xxx2/admin_e.php/Film/film_add | INFO: Tag[ app_begin ] --START--
[ 2013-01-03T10:31:48+08:00 ] /xxx2/admin_e.php/Film/film_add | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000931s ]
[ 2013-01-03T10:31:48+08:00 ] /xxx2/admin_e.php/Film/film_add | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001023s ]
[ 2013-01-03T10:31:48+08:00 ] /xxx2/admin_e.php/Film/film_add | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin_e\Lib\Action\FilmAction.class.php:1) FilmAction.class.php 第 35 行.
[ 2013-01-03T10:31:48+08:00 ] /xxx2/admin_e.php/Film/film_add | SQL: SHOW COLUMNS FROM `think_catalog` [ RunTime:0.000226s ]
[ 2013-01-03T10:31:48+08:00 ] /xxx2/admin_e.php/Film/film_add | NOTIC: [8] Undefined index: id FilmAction.class.php 第 39 行.
[ 2013-01-03T10:31:48+08:00 ] /xxx2/admin_e.php/Film/film_add | SQL: SELECT `id`,`f_cata`,`isf`,`f_id`,`p_id` FROM `think_catalog` WHERE isf=1  [ RunTime:0.000248s ]
[ 2013-01-03T10:31:48+08:00 ] /xxx2/admin_e.php/Film/film_add | INFO: Tag[ view_template ] --START--
[ 2013-01-03T10:31:48+08:00 ] /xxx2/admin_e.php/Film/film_add | INFO: Run LocationTemplate Behavior [ RunTime:0.001386s ]
[ 2013-01-03T10:31:48+08:00 ] /xxx2/admin_e.php/Film/film_add | INFO: Tag[ view_template ] --END-- [ RunTime:0.001457s ]
[ 2013-01-03T10:31:48+08:00 ] /xxx2/admin_e.php/Film/film_add | INFO: Tag[ view_parse ] --START--
