[ 2012-09-11T00:05:54+08:00 ] /xxx2/admin.php/Index/catalog | INFO: Tag[ view_filter ] --START--
[ 2012-09-11T00:05:54+08:00 ] /xxx2/admin.php/Index/catalog | INFO: Run ContentReplace Behavior [ RunTime:0.000779s ]
[ 2012-09-11T00:05:54+08:00 ] /xxx2/admin.php/Index/catalog | INFO: Run TokenBuild Behavior [ RunTime:0.000709s ]
[ 2012-09-11T00:05:54+08:00 ] /xxx2/admin.php/Index/catalog | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000390s ]
[ 2012-09-11T00:05:54+08:00 ] /xxx2/admin.php/Index/catalog | INFO: Run ShowRuntime Behavior [ RunTime:0.000644s ]
[ 2012-09-11T00:05:54+08:00 ] /xxx2/admin.php/Index/catalog | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002703s ]
[ 2012-09-11T00:05:54+08:00 ] /xxx2/admin.php/Index/catalog | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\IndexAction.class.php:1) View.class.php 第 120 行.
[ 2012-09-11T00:05:54+08:00 ] /xxx2/admin.php/Index/catalog | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\IndexAction.class.php:1) View.class.php 第 121 行.
[ 2012-09-11T00:05:54+08:00 ] /xxx2/admin.php/Index/catalog | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\IndexAction.class.php:1) View.class.php 第 122 行.
[ 2012-09-11T00:05:54+08:00 ] /xxx2/admin.php/Index/catalog | INFO: Tag[ view_end ] --START--
[ 2012-09-11T00:05:54+08:00 ] /xxx2/admin.php/Index/catalog | INFO: Run ShowPageTrace Behavior [ RunTime:0.001636s ]
[ 2012-09-11T00:05:54+08:00 ] /xxx2/admin.php/Index/catalog | INFO: Tag[ view_end ] --END-- [ RunTime:0.001851s ]
[ 2012-09-11T00:06:00+08:00 ] /xxx2/admin.php/Index/addcatalog | INFO: Tag[ route_check ] --START--
[ 2012-09-11T00:06:00+08:00 ] /xxx2/admin.php/Index/addcatalog | INFO: Run CheckRoute Behavior [ RunTime:0.001161s ]
[ 2012-09-11T00:06:00+08:00 ] /xxx2/admin.php/Index/addcatalog | INFO: Tag[ route_check ] --END-- [ RunTime:0.001264s ]
[ 2012-09-11T00:06:00+08:00 ] /xxx2/admin.php/Index/addcatalog | INFO: Tag[ app_begin ] --START--
[ 2012-09-11T00:06:00+08:00 ] /xxx2/admin.php/Index/addcatalog | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000719s ]
[ 2012-09-11T00:06:00+08:00 ] /xxx2/admin.php/Index/addcatalog | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000782s ]
[ 2012-09-11T00:06:00+08:00 ] /xxx2/admin.php/Index/addcatalog | SQL: SHOW COLUMNS FROM `think_catalog` [ RunTime:0.002454s ]
[ 2012-09-11T00:06:00+08:00 ] /xxx2/admin.php/Index/addcatalog | SQL: INSERT INTO `think_catalog` (`f_cata`,`f_id`) VALUES ('44',0) [ RunTime:0.000709s ]
[ 2012-09-11T00:06:00+08:00 ] /xxx2/admin.php/Index/addcatalog | INFO: Tag[ view_template ] --START--
