[ 2012-08-09T23:30:00+08:00 ] /xxx/admin.php/Article/add | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.002104s ]
[ 2012-08-09T23:30:00+08:00 ] /xxx/admin.php/Article/add | SQL: INSERT INTO `think_article` (`id`,`subject`,`createtime`,`message`,`author`) VALUES ('','ss',1344526200,'<p>sssssssssssss</p>','ruby97') [ RunTime:0.000365s ]
[ 2012-08-09T23:30:00+08:00 ] /xxx/admin.php/Article/add | INFO: Tag[ view_template ] --START--
[ 2012-08-09T23:30:00+08:00 ] /xxx/admin.php/Article/add | INFO: Run LocationTemplate Behavior [ RunTime:0.000861s ]
[ 2012-08-09T23:30:00+08:00 ] /xxx/admin.php/Article/add | INFO: Tag[ view_template ] --END-- [ RunTime:0.000931s ]
[ 2012-08-09T23:30:00+08:00 ] /xxx/admin.php/Article/add | INFO: Tag[ view_parse ] --START--
[ 2012-08-09T23:30:00+08:00 ] /xxx/admin.php/Article/add | INFO: Run ParseTemplate Behavior [ RunTime:0.017250s ]
[ 2012-08-09T23:30:00+08:00 ] /xxx/admin.php/Article/add | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017351s ]
[ 2012-08-09T23:30:00+08:00 ] /xxx/admin.php/Article/add | INFO: Tag[ view_filter ] --START--
[ 2012-08-09T23:30:00+08:00 ] /xxx/admin.php/Article/add | INFO: Run ContentReplace Behavior [ RunTime:0.000536s ]
[ 2012-08-09T23:30:00+08:00 ] /xxx/admin.php/Article/add | INFO: Run TokenBuild Behavior [ RunTime:0.000780s ]
[ 2012-08-09T23:30:00+08:00 ] /xxx/admin.php/Article/add | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000390s ]
[ 2012-08-09T23:30:00+08:00 ] /xxx/admin.php/Article/add | INFO: Run ShowRuntime Behavior [ RunTime:0.000616s ]
[ 2012-08-09T23:30:00+08:00 ] /xxx/admin.php/Article/add | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002496s ]
[ 2012-08-09T23:30:00+08:00 ] /xxx/admin.php/Article/add | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx\admin\Lib\Action\ArticleAction.class.php:1) View.class.php 第 120 行.
[ 2012-08-09T23:30:00+08:00 ] /xxx/admin.php/Article/add | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx\admin\Lib\Action\ArticleAction.class.php:1) View.class.php 第 121 行.
