[ 2012-09-01T21:44:46+08:00 ] /xxx2/admin.php/Index/addcatalog | INFO: Tag[ route_check ] --END-- [ RunTime:0.001344s ]
[ 2012-09-01T21:44:46+08:00 ] /xxx2/admin.php/Index/addcatalog | INFO: Tag[ app_begin ] --START--
[ 2012-09-01T21:44:46+08:00 ] /xxx2/admin.php/Index/addcatalog | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000727s ]
[ 2012-09-01T21:44:46+08:00 ] /xxx2/admin.php/Index/addcatalog | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000793s ]
[ 2012-09-01T21:44:46+08:00 ] /xxx2/admin.php/Index/addcatalog | SQL: SHOW COLUMNS FROM `think_catalog` [ RunTime:0.002693s ]
[ 2012-09-01T21:44:46+08:00 ] /xxx2/admin.php/Index/addcatalog | SQL: INSERT INTO `think_catalog` (`f_cata`,`f_id`) VALUES ('11',0) [ RunTime:0.000488s ]
[ 2012-09-01T21:44:46+08:00 ] /xxx2/admin.php/Index/addcatalog | INFO: Tag[ view_template ] --START--
[ 2012-09-01T21:44:46+08:00 ] /xxx2/admin.php/Index/addcatalog | INFO: Run LocationTemplate Behavior [ RunTime:0.000873s ]
[ 2012-09-01T21:44:46+08:00 ] /xxx2/admin.php/Index/addcatalog | INFO: Tag[ view_template ] --END-- [ RunTime:0.000948s ]
[ 2012-09-01T21:44:46+08:00 ] /xxx2/admin.php/Index/addcatalog | INFO: Tag[ view_parse ] --START--
[ 2012-09-01T21:44:46+08:00 ] /xxx2/admin.php/Index/addcatalog | INFO: Run ParseTemplate Behavior [ RunTime:0.010692s ]
[ 2012-09-01T21:44:46+08:00 ] /xxx2/admin.php/Index/addcatalog | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010796s ]
[ 2012-09-01T21:44:46+08:00 ] /xxx2/admin.php/Index/addcatalog | INFO: Tag[ view_filter ] --START--
[ 2012-09-01T21:44:46+08:00 ] /xxx2/admin.php/Index/addcatalog | INFO: Run ContentReplace Behavior [ RunTime:0.000553s ]
